74888,Tamizh Kadavul Murugan,ta,1,10.0,2017-10-02,2017-10-02,true,0.6,[]
74909,Rak Rai,ta,1,10.0,2017-11-01,2017-12-26,true,894.0,[Drama,  Crime]
80929,Chinna Thambi,ta,1,10.0,2017-10-02,2019-01-01,true,8.512,[Drama,  Comedy]
229360,Marmadesam: Vidaathu Karuppu,ta,1,10.0,1997-01-02,1997-01-02,true,0.6,[]
201463,Kuthukku Pathu,ta,2,9.0,2022-05-13,2022-05-13,false,1.719,[Comedy]
157374,Akash Vaani,ta,1,9.0,2022-02-11,2022-02-11,true,4.686,[Comedy,  Family]
104710,Ramany Vs Ramany 3.0,ta,1,9.0,1998-01-29,2022-05-20,true,2.244,[Comedy]
114574,Cooku with Comali,ta,3,8.7,2019-11-16,2023-07-02,true,55.979,[Reality,  Comedy]
157164,Vilangu,ta,6,8.667,2022-02-18,2022-02-18,false,2.826,[Crime,  Drama,  Mystery]
201088,Sweet Kaaram Coffee,ta,2,8.0,2023-07-06,2023-07-06,false,2.669,[Comedy,  Family]
94784,Iru Dhuruvam,ta,2,8.0,2019-09-29,2023-02-24,true,857.0,[]
206268,Victim,ta,1,8.0,2022-08-05,2022-08-05,false,2.309,[Mystery,  Comedy,  Drama]
198124,Anantham,ta,1,8.0,2022-04-22,2022-04-22,true,4.011,[Drama]
211195,Thendral Vanthu Ennai Thodum,ta,1,8.0,2021-08-16,2021-08-17,true,2.07,[]
89000,Auto Shankar,ta,1,8.0,2019-04-23,2019-04-23,true,3.349,[Crime]
125938,November Story,ta,9,7.5,2021-05-19,2021-05-19,false,3.885,[Crime,  Mystery]
118567,Live Telecast,ta,2,7.5,2021-02-12,2021-02-12,false,2.401,[Crime,  Mystery]
114893,Paava Kadhaigal,ta,16,7.469,2020-12-18,2020-12-18,false,5.631,[Family,  Drama]
94253,Fingertip,ta,3,7.3,2019-08-21,2022-06-17,false,2.215,[Crime,  Drama]
218640,Ayali,ta,4,7.25,2023-01-26,2023-01-26,false,3.918,[Drama]
114079,Triples,ta,4,7.2,2020-12-11,2020-12-11,false,3.038,[Comedy,  Drama]
205505,TamilRockerz,ta,5,7.1,2022-08-19,2022-08-19,true,4.042,[Crime,  Drama]
83279,Nila Nila Odi Vaa,ta,2,7.0,2018-07-24,2018-07-24,true,1.311,[Comedy]
212253,Pettaikaali,ta,1,7.0,2022-10-21,2022-12-09,false,2.669,[Action & Adventure,  Mystery]
225824,Mathagam,ta,1,7.0,2023-08-18,2023-08-18,true,4.56,[Crime]
207950,Emoji,ta,1,7.0,2022-08-12,2022-08-12,true,7.706,[Comedy,  Drama]
217736,Story of Things,ta,1,7.0,2023-01-06,2023-01-06,false,1.463,[Mystery]
221730,Accidental Farmer & Co.,ta,1,7.0,2023-03-10,2023-03-10,false,2.552,[Comedy,  Drama]
224816,Oru Kodai Murder Mystery,ta,1,7.0,2023-04-21,2023-04-21,true,1.679,[Mystery,  Crime]
105066,Kallachirippu,ta,1,7.0,2018-07-22,2018-07-23,false,1.46,[]
200874,Modern Love Chennai,ta,6,6.8,2023-05-18,2023-05-18,false,9.754,[Comedy,  Drama]
96554,Queen,ta,3,6.7,2019-12-14,2019-12-14,true,7.517,[Drama]
84755,Vella Raja,ta,6,6.5,2018-12-06,2018-12-06,false,1.492,[Drama]
200881,Vadhandhi,ta,4,6.5,2022-12-02,2022-12-02,false,3.43,[Mystery,  Crime,  Drama]
249543,Inspector Rishi,ta,3,6.3,2024-03-29,2024-03-29,true,30.336,[Mystery,  Action & Adventure,  Drama]
200861,Suzhal - The Vortex,ta,19,6.211,2022-06-17,2022-06-17,true,6.116,[Crime,  Mystery]
72402,As I'm Suffering From Kadhal,ta,3,6.0,2017-06-15,2017-06-15,true,3.398,[Comedy]
110032,Time Enna Boss!?,ta,3,5.7,2020-09-18,2020-09-18,false,2.625,[Comedy]
120395,Navarasa,ta,11,5.636,2021-08-06,2021-08-06,false,4.607,[Drama]
157775,Irai,ta,3,5.3,2022-02-18,2022-02-18,true,2.689,[Crime,  Drama,  Mystery]
206390,Paper Rocket,ta,2,5.0,2022-07-29,2022-07-29,true,2.747,[Comedy,  Drama,  Family]
206395,Meme Boys,ta,2,5.0,2022-07-22,2022-07-22,true,739.0,[Comedy,  Drama]
155603,Putham Pudhu Kaalai Vidiyaadhaa,ta,2,5.0,2022-01-14,2022-01-14,true,3.126,[Drama]
112352,Mugilan,ta,1,5.0,2020-10-30,2020-10-30,true,0.97,[]
197495,MY3,ta,1,5.0,2023-09-15,2023-09-15,false,16.439,[Comedy,  Sci-Fi & Fantasy]
222914,Sengalam,ta,2,4.5,2023-03-24,2023-03-24,false,1.276,[Crime,  Drama,  War & Politics]
219147,Engga Hostel,ta,2,4.5,2023-01-26,2023-01-26,true,1.978,[Comedy,  Drama]
72908,Bigg Boss,ta,9,3.8,2017-06-25,2022-10-12,true,0.6,[Reality]
215330,Fall,ta,2,3.5,2022-12-09,2022-12-23,true,2.832,[Crime,  Mystery]
104249,Karoline Kamakshi,ta,1,3.0,2019-12-05,2019-12-05,true,1.715,[Comedy,  Action & Adventure]
